lng,lat
-72.9250335693359,41.3045539855957
-72.9248504638672,41.3047370910645
-72.9444885253906,41.3113288879395
-72.9256896972656,41.3060111999512
-72.914485410557,41.3180647706621
-72.8977366,41.2805178
-72.9257049560547,41.3059959411621
-72.9313555,41.3087862
-72.94246,41.324948
-72.909672,41.321921
-72.9254419595475,41.3088644471359
-82.3819530593493,40.0729070579856
-72.972249,41.322719
-72.877802,41.302636
-72.9153804,41.3147094
-72.914317,41.313771
-72.8766349,41.3069861
-72.9032,41.3084531
-72.9408238,41.2950734
-72.9411818,41.3043879
-72.900955,41.310173
-72.9321159,41.332599
-72.9531533,41.318732
-72.9531533,41.318732
-72.97852,41.319809
-72.936312,41.290911
-72.954405,41.3191691
-72.9351716,41.3273518
-72.954405,41.3191691
-72.9566641,41.3344007
-72.9106391,41.3150447
-72.9296141,41.3060093
-72.9296141,41.3060093
-72.890353,41.295398
-72.9170602,41.3150363
-72.9170602,41.3150363
-72.9294973,41.3090334
-72.9429510678436,41.3176252033857
-72.8944787169189,41.2887834730402
-72.8780699153442,41.3050569279964
-72.894516,41.312607
-72.9478073120117,41.3121719360352
-72.947096541217,41.3116156276018
-72.9106391,41.3150447
-72.9121502861381,41.321439294676
-82.382322,40.0729067
-82.381773,40.072617
-72.9138434,41.331156
-72.9094390869141,41.3122367858887
-72.9098434448242,41.310718536377
-72.8975331,41.3186962
-72.9658507,41.3192758093959
-72.8968377378204,41.3363043117685
-72.9586665,41.3396892
-72.917701,41.3066587
-72.9238554,41.30423
-72.917257,41.303512
-72.9242438,41.3111675
-72.949322,41.323744
-72.9170602,41.3150363
-72.9504537634758,41.3126853564749
-72.9296141,41.3060093
-72.9170602,41.3150363
-72.9170602,41.3150363
-72.9047298,41.3083654
-72.932837,41.311014
-72.933372,41.3110209
-72.933415,41.31094
-72.9415624,41.3044732
-72.9415598,41.3049254
-72.892786288086,41.2788309114065
-72.8929579494629,41.2792179249189
-72.9228769,41.3044887
-72.9006231,41.2889419
-72.925977,41.3192324
-72.937565,41.300164
-72.9106391,41.3150447
-72.946309,41.3238259
-72.9296141,41.3060093
-72.967853,41.3227673
-72.9718908,41.3304191
-72.919349,41.305189
-72.9119539441358,41.3220625702268
-72.9330559,41.2886718
-72.8877925,41.2894866
-72.8914485,41.3093444
-72.8942444,41.2684168
-72.8890167,41.3118429
-72.897307,41.276729
-72.9393164,41.3173121
